Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:46543000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
46543000;1;05/09/2025;01/01/1900 15:05;1;"18,0";"21,632";"48,81";"22,44";"0,443";"2,18";Anderson Velame e Daniel;16
46543000;1;24/05/2025;01/01/1900 09:45;2;"22,0";"23,87";"48,15";"22,2";"0,496";"2,17";Anderson Velame e Daniel;16
46543000;1;14/05/2025;01/01/1900 11:15;1;"27,0";"27,106";"80,75";"32,3";"0,337";"2,5";Anderson Velame e Daniel;16
46543000;1;24/11/2024;01/01/1900 08:25;1;"55,0";"41,83";"53,64";"22,24";"0,78";"2,41";Anderson Velame;16
46543000;1;19/10/2024;01/01/1900 11:00;161;"24,0";"20,689";"39,96";"18,37";"0,518";"2,18";Ademi dos Santos;16
46543000;1;27/09/2024;01/01/1900 12:36;1;"19,0";"24,31";"53,06";"22,35";"0,458";"2,37";João Cunha;16
46543000;1;17/09/2024;01/01/1900 12:36;1;"19,0";"22,6";"49,0";"22,25";"0,462";"2,29";João Cunha;16
46543000;1;27/05/2024;01/01/1900 14:29;1;"24,0";"26,944";"51,69";"22,5";"0,521";"2,3";Anderson Velame;16
46543000;1;20/04/2024;01/01/1900 10:02;1;"45,0";"44,2";"55,8";"22,09";"0,791";"2,53";Waldo Motta;16
46543000;1;02/01/2024;01/01/1900 12:22;1;"55,0";"53,992";"62,21";"23,8";"0,867";"2,61";Waldo Motta;16
46543000;2;05/12/2023;01/01/1900 13:47;1;"22,0";"23,8";"51,3";"22,1";"0,465";"2,32";Diego de Jesus;4
46543000;1;05/12/2023;01/01/1900 13:47;1;"22,0";"23,831";"51,27";"22,08";"0,465";"2,32";Diego de Jesus;4
46543000;2;30/10/2023;01/01/1900 10:46;1;"30,0";"30,6";"54,4";"24,0";"0,563";"2,26";Waldo Motta;16
46543000;1;30/10/2023;01/01/1900 10:46;1;"30,0";"30,565";"54,37";"24,02";"0,563";"2,26";Waldo Motta;16
46543000;2;23/08/2023;01/01/1900 10:10;100;"24,0";"24,9";"51,7";"24,0";"0,482";"2,15";Waldo César e Flávio de Jesus;16
46543000;1;23/08/2023;01/01/1900 10:10;100;"24,0";"29,896";"51,65";"23,98";"0,482";"2,15";Waldo César e Flávio de Jesus;16
46543000;2;21/06/2023;01/01/1900 10:18;100;"22,0";"23,9";"51,8";"22,9";"0,462";"2,27";Waldo César e João Cunha;16
46543000;1;21/06/2023;01/01/1900 10:18;100;"22,0";"23,92";"51,82";"22,85";"0,462";"2,268";Waldo César e João Cunha;16
46543000;2;26/04/2023;01/01/1900 10:30;1;"35,0";"37,2";"54,0";"21,9";"0,688";"2,46";Waldo Motta;16
46543000;1;26/04/2023;01/01/1900 10:30;1;"35,0";"37,182";"54,038";"21,938";"0,688";"2,46";Waldo Motta;16
46543000;2;12/10/2022;01/01/1900 08:00;1;"20,0";"24,8";"74,0";"31,8";"0,335";"2,32";Nildo Santos;4
46543000;1;12/10/2022;01/01/1900 08:00;1;"20,0";"24,8";"74,0";"31,8";"0,335";"2,32";Nildo Santos;4
46543000;2;22/08/2022;01/01/1900 11:00;1;"19,0";"23,8";"52,4";"23,9";"0,454";"2,19";Anderson Velame;16
46543000;1;22/08/2022;01/01/1900 11:00;1;"19,0";"23,8";"52,383";"23,948";"0,454";"2,187";Anderson Velame;16
46543000;2;10/11/2021;01/01/1900 08:30;1;"34,0";"38,6";"57,9";"21,8";"0,667";"2,65";Nildo Santos;4
46543000;1;10/11/2021;01/01/1900 08:30;1;"34,0";"38,6";"57,9";"21,8";"0,667";"2,65";Nildo Santos;4
46543000;2;20/09/2021;01/01/1900 15:00;1;"16,0";"21,8";"65,4";"28,2";"0,333";"2,32";Nildo Santos;4
46543000;1;20/09/2021;01/01/1900 15:00;1;"16,0";"25,5";"76,5";"33,1";"0,334";"2,32";Nildo Santos;4
46543000;2;13/05/2021;01/01/1900 09:00;1;"30,0";"34,4";"71,6";"31,8";"0,481";"2,25";Nildo Santos;4
46543000;1;13/05/2021;01/01/1900 09:00;1;"30,0";"34,4";"71,6";"31,8";"0,481";"2,25";Nildo Santos;4
46543000;2;10/02/2020;01/01/1900 11:30;1;"48,0";"49,9";"58,9";"23,5";"0,847";"2,5";Waldo Motta;16
46543000;1;10/02/2020;01/01/1900 11:30;1;"48,0";"49,853";"58,876";"23,546";"0,847";"2,5";Waldo Motta;16
46543000;2;04/12/2019;01/01/1900 16:23;1;"27,0";"24,7";"56,7";"23,5";"0,435";"2,41";Nildo Alves;15
46543000;1;04/12/2019;01/01/1900 16:23;1;"27,0";"24,7";"56,7";"23,5";"0,435";"2,41";Nildo Alves;15
46543000;2;16/09/2019;01/01/1900 09:00;160;"19,0";"27,9";"63,2";"23,1";"0,441";"2,74";Nildo Santos;4
46543000;1;16/09/2019;01/01/1900 09:00;160;"19,0";"27,9";"63,2";"23,1";"0,441";"2,74";Nildo Santos;4
46543000;2;19/07/2019;01/01/1900 09:04;159;"20,0";"22,6";"50,2";"21,6";"0,45";"2,32";Anderson Chagas;16
46543000;1;19/07/2019;01/01/1900 09:04;159;"20,0";"22,569";"50,199";"21,63";"0,45";"2,32";Anderson Chagas;16
46543000;2;27/05/2019;01/01/1900 11:38;158;"23,0";"24,9";"65,8";"31,8";"0,378";"2,07";Diego de Jesus;4
46543000;1;27/05/2019;01/01/1900 11:38;158;"23,0";"24,9";"65,8";"31,8";"0,378";"2,07";Diego de Jesus;4
46543000;1;29/03/2019;01/01/1900 11:22;157;"47,0";"31,6";"72,6";"32,0";"0,435";"2,27";"Nildo, Victor e Alassom";14
46543000;2;24/01/2019;01/01/1900 09:00;100;"20,0";"22,8";"52,4";"23,1";"0,434";"2,27";Nildo;4
46543000;1;24/01/2019;01/01/1900 09:00;100;"20,0";"22,8";"52,4";"23,1";"0,434";"2,27";Nildo;4
46543000;2;05/12/2018;01/01/1900 09:30;156;"44,0";"43,3";"59,2";"22,5";"0,732";"2,64";"Nildo , Rebeca, Flávio e Alasson";4
46543000;1;05/12/2018;01/01/1900 09:30;156;"44,0";"43,3";"59,2";"22,5";"0,732";"2,64";"Nildo , Rebeca, Flávio e Alasson";4
46543000;2;03/12/2018;01/01/1900 09:30;155;"44,0";"41,6";"72,7";"31,8";"0,572";"2,28";"Nildo , Rebeca, Flávio e Alasson";4
46543000;1;03/12/2018;01/01/1900 09:30;155;"44,0";"41,6";"72,7";"31,8";"0,572";"2,28";"Nildo , Rebeca, Flávio e Alasson";4
46543000;2;03/10/2018;01/01/1900 07:26;154;"15,0";"21,1";"52,5";"21,4";"0,401";"2,45";Nildo e Roberto;4
46543000;1;03/10/2018;01/01/1900 07:26;154;"1,0";"21,1";"52,5";"21,4";"0,401";"2,45";Nildo e Roberto;4
46543000;2;06/08/2018;01/01/1900 12:12;154;"19,0";"22,0";"46,8";"21,6";"0,47";"2,17";"Ademi, Fernando e Nildo";16
46543000;1;06/08/2018;01/01/1900 12:12;154;"19,0";"22,0";"46,8";"21,56";"0,47";"2,17";"Ademi, Fernando e Nildo";16
46543000;2;12/06/2018;01/01/1900 08:49;153;"18,0";"21,1";"48,1";"20,8";"0,439";"2,31";Anderson e Nildo;16
46543000;1;12/06/2018;01/01/1900 08:49;153;"18,0";"21,134";"48,141";"20,79";"0,439";"2,31";Anderson e Nildo;16
46543000;1;10/03/2018;01/01/1900 08:26;154;"47,0";"21,1";"52,5";"21,4";"0,401";"2,45";"Nildo, Patricia e Roberto";4
46543000;1;10/03/2018;01/01/1900 08:26;152;"47,0";"21,1";"52,5";"21,4";"0,401";"2,45";Nildo e Roberto;4
46543000;2;26/01/2018;01/01/1900 09:14;151;"23,0";"26,6";"51,0";"21,1";"0,521";"2,41";Nildo e Fernando;16
46543000;1;26/01/2018;01/01/1900 09:14;151;"23,0";"26,552";"50,975";"21,079";"0,521";"2,41";Nildo e Fernando;16
46543000;2;21/11/2017;01/01/1900 11:27;149;"37,0";"41,0";"59,2";"22,0";"0,693";"2,69";Anderson e Luciano;16
